Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_4 9 (Omykiss),Length 99,0:00:05:48.1861/60000,348.031006,44.305729,-29.196201,2.106897,0.498114,3.33852,63.141224,
Subsample_4 9 (Omykiss),Length 100,0:00:05:47.42842/60000,347.71402,44.010284,-28.919621,1.604266,0.480523,2.539887,63.501034,
Subsample_4 9 (Omykiss),Length 100,0:00:05:47.42842/60000,347.71402,35.455971,-26.151363,1.54229,0.266543,1.380521,62.592003,
Subsample_4 8 (Omykiss),Length 102,0:00:05:33.00/60000,333,16.814369,-5.437287,-8.199347,0.020193,1.841393,82.564598,
Subsample_4 8 (Omykiss),Length 101,0:00:05:30.00/60000,330,25.209122,-6.209217,-6.590225,0.013652,1.471074,81.362045,
Subsample_4 8 (Omykiss),Length 101,0:00:05:30.00/60000,330,16.78245,-5.460122,-8.192011,0.020462,2.431226,82.541962,
Subsample_4 8 (Omykiss),Length 102,0:00:05:33.00/60000,333,25.292454,-6.075909,-6.710005,0.014188,0.764449,81.546173,
Subsample_4 8 (Omykiss),Length 103,0:00:05:36.00/60000,336,16.894606,-5.117295,-8.305088,0.017924,2.683682,82.888031,
Subsample_4 8 (Omykiss),Length 103,0:00:05:36.00/60000,336,25.08757,-6.296975,-6.428556,0.012918,0.688918,81.189438,
Subsample_4 10 (Omykiss),Movement 105,0:00:05:57.00/60000,357,-37.291821,-4.5173,22.640818,0.103792,3.627592,70.97715,
Subsample_4 10 (Omykiss),Movement 104,0:00:05:54.00/60000,354,-37.608868,-5.445824,22.873871,0.12067,2.255793,70.208221,
Subsample_4 10 (Omykiss),Movement 106,0:00:06:00.00/60000,360,-37.056717,-5.06229,22.823727,0.108652,3.804526,70.357025,
Subsample_5 11 (Omykiss),Movement 107,0:00:06:00.00/60000,360,-0.106614,-7.952633,2.504804,0.103333,2.516765,71.717972,
Subsample_5 11 (Omykiss),Movement 108,0:00:06:03.00/60000,363,-3.117003,-9.863692,3.738628,0.13654,1.56128,69.061584,
Subsample_5 11 (Omykiss),Movement 109,0:00:06:06.00/60000,366,-6.070379,-8.418922,4.749483,0.121502,2.203724,69.497223,
Subsample_5 11 (Omykiss),Movement 110,0:00:06:09.00/60000,369,-9.2648,-9.263506,5.768185,0.139476,1.919565,68.099655,
Subsample_5 11 (Omykiss),Movement 111,0:00:06:12.00/60000,372,-12.205731,-9.098976,6.446202,0.140957,1.970002,67.892357,
Subsample_5 11 (Omykiss),Movement 112,0:00:06:15.00/60000,375,-12.854536,-9.262733,7.849886,0.138786,1.944066,67.082008,
Subsample_5 11 (Omykiss),Movement 113,0:00:06:18.00/60000,378,-13.507353,-9.309033,7.871839,0.14099,1.118883,67.051796,
Subsample_5 11 (Omykiss),Movement 114,0:00:06:21.00/60000,381,-14.687273,-9.498065,8.784565,0.142417,2.117119,66.507858,
Subsample_5 11 (Omykiss),Movement 115,0:00:06:24.00/60000,384,-18.530447,-10.693381,9.195571,0.174502,1.443995,65.589195,
Subsample_5 11 (Omykiss),Movement 116,0:00:06:27.00/60000,387,-24.918652,-13.723276,11.31107,0.277017,0.831345,63.039829,
Subsample_5 11 (Omykiss),Movement 117,0:00:06:30.00/60000,390,-30.06015,-14.221591,14.631124,0.321379,1.428191,62.532433,
Subsample_5 11 (Omykiss),Length 120,0:00:06:06.00/60000,366,-6.034926,-8.924489,4.991876,0.127967,2.190004,68.942596,
Subsample_5 11 (Omykiss),Length 119,0:00:06:03.00/60000,363,-3.051911,-9.488802,3.465783,0.131875,1.948161,69.528419,
Subsample_5 11 (Omykiss),Length 119,0:00:06:03.00/60000,363,-11.552436,-9.462268,2.95862,0.160429,2.820752,69.362411,
Subsample_5 12 (Omykiss),Movement 121,0:00:06:00.00/60000,360,-37.238571,-4.595686,22.636566,0.10448,4.177967,70.888214,
Subsample_5 12 (Omykiss),Movement 122,0:00:06:03.00/60000,363,-37.896358,-1.81383,22.521595,0.07087,2.500896,73.657265,
Subsample_5 11 (Omykiss),Length 120,0:00:06:06.00/60000,366,-14.330003,-11.013847,4.940242,0.193605,2.063759,67.078072,
Subsample_5 11 (Omykiss),Length 118,0:00:06:00.00/60000,360,-8.579188,-7.746014,2.269202,0.123631,1.368123,71.223114,
Subsample_5 11 (Omykiss),Length 118,0:00:06:00.00/60000,360,-0.050878,-8.02465,2.54707,0.103893,2.549607,71.643997,
Subsample_5 12 (Omykiss),Search_Forage 123,0:00:06:12.00/60000,372,-37.231556,-4.189665,22.662767,0.09803,2.541547,71.243546,
Subsample_5 12 (Omykiss),Movement 124,0:00:06:15.00/60000,375,-37.174625,-5.45814,22.548807,0.118275,3.415185,70.1138,
Subsample_5 12 (Omykiss),Movement 125,0:00:06:18.00/60000,378,-37.438675,-4.336118,22.463625,0.103576,3.513991,71.237198,
Subsample_5 12 (Omykiss),Movement 126,0:00:06:21.00/60000,381,-37.384617,-4.895927,22.657019,0.110676,2.41654,70.668472,
Subsample_5 12 (Omykiss),Movement 127,0:00:06:24.00/60000,384,-37.243431,-5.206464,22.768572,0.113345,3.126152,70.310608,
Subsample_5 12 (Omykiss),Movement 128,0:00:06:27.00/60000,387,-37.425095,-5.17444,22.770422,0.114848,2.314436,70.406731,
Subsample_5 12 (Omykiss),Movement 129,0:00:06:30.00/60000,390,-37.393333,-5.766887,23.358782,0.119578,3.379416,69.72319,
Subsample_6 13 (Omykiss),Search_Forage 130,0:00:07:30.00/60000,450,-29.73686,-4.826092,20.852896,0.063942,2.732915,68.73011,
Subsample_6 13 (Omykiss),Surface_Strike 131,0:00:07:33.00/60000,453,-31.581978,0.357335,34.095631,0.040917,1.50553,71.763306,
Subsample_6 13 (Omykiss),Search_Forage 132,0:00:07:48.00/60000,468,-25.707537,-25.015562,23.796543,0.369439,2.818171,48.33482,
Subsample_6 13 (Omykiss),Search_Forage 133,0:00:07:51.00/60000,471,-9.604844,-8.598613,10.885602,0.105816,0.746917,66.271172,
Subsample_6 13 (Omykiss),Search_Forage 134,0:00:07:54.00/60000,474,1.236114,-19.813263,18.941568,0.062678,4.773682,54.105526,
Subsample_6 13 (Omykiss),Length 136,0:00:07:53.58410/60000,473.973511,8.184076,-15.572053,19.34194,0.004093,4.792679,59.645157,
Subsample_6 13 (Omykiss),Length 135,0:00:07:53.55407/60000,473.923462,9.129757,-15.259096,19.640314,0.01159,0.067109,60.129864,
Subsample_6 13 (Omykiss),Length 136,0:00:07:53.58410/60000,473.973511,1.508568,-17.691591,18.159145,0.059847,3.174552,56.366959,
Subsample_6 13 (Omykiss),Length 135,0:00:07:53.55407/60000,473.923462,2.386515,-18.143581,18.912336,0.045204,0.133203,55.878418,
,,,,,,,,,,
